Accession.ID,Collection.date,Group
Q1_a,24/03/2020,a
Q2_a,27/02/2020,a
Q3_a,01/03/2020,a
Q4_a,01/03/2020,a
Q5_a,02/03/2020,a
Q6_a,29/02/2020,a
Q7_a,30/03/2020,a
Q8_a,10/03/2020,a
Q9_a,18/03/2020,a
Q10_a,28/02/2020,a
Q11_a,26/02/2020,a
Q12_a,11/03/2020,a
Q13_a,19/03/2020,a
Q14_a,16/03/2020,a
Q15_a,17/03/2020,a
Q16_a,14/01/2020,a
Q17_a,10/01/2020,a
Q18_a,05/01/2020,a
Q19_a,11/03/2020,a
Q20_a,09/03/2020,a
Q21_a,10/03/2020,a
Q22_a,18/09/2020,a
