Accession.ID,Collection.date,Group
Q1_b,27/02/2020,b
Q2_b,25/08/2020,b
Q3_b,01/03/2020,b
Q4_b,01/03/2020,b
Q5_b,02/03/2020,b
Q6_b,29/02/2020,b
Q7_b,29/02/2020,b
Q8_b,10/03/2020,b
Q9_b,18/03/2020,b
Q10_b,28/02/2020,b
Q11_b,28/02/2020,b
Q12_b,17/03/2020,b
Q13_b,09/03/2020,b
Q14_b,16/03/2020,b
Q15_b,17/03/2020,b
Q16_b,14/03/2020,b
Q17_b,10/03/2020,b
Q18_b,10/03/2020,b
Q19_b,11/03/2020,b
